5B300508-D5C7-414A-AB3E-A1E9834CC0DD;Y-образное Сочленение Трубы;8
A1EB8235-C205-48B2-BB3F-1A47532F91C3;Комбинированное Y-образное Сочленение Трубы;9
9C6D1D82-E2E6-42B7-B824-B771131AC65D;Двойное Y-образное Сочленение Трубы;8
9890BE4A-93CA-4467-86D1-96DEB1317653;Двойное Комбинированное Y-образное Сочленение Трубы;9
BA22C96A-69AC-4DDD-8633-10DFC0A72E33;Перекрестное Сочленение Трубы;8
901559EC-C7AE-4A0A-BC12-57CDA82C7332;Двойное Т-образное Сочленение Сточной Трубы;9
28A29D2B-4F2B-4341-A231-E7FDA30013C4;Сочленение Отвода ТРУБЫ;8
341EFBBF-7998-4F5D-97F6-77BBA197D4DB;Т-образное Сочленение Трубы;8
1266C57C-5210-4270-9930-2936B24EEDFD;Т-образное Сочленение Сточной Трубы;9
0387FECF-552E-4190-A104-34A542065D13;???;0
43EC5FE8-94F1-488F-8E9C-A63483E499C1;???;0
B176ABF1-5813-478F-926B-28EE7C5DC1F7;???;0
4FD10D67-2F29-4844-A65A-6597589B0CB5;???;0
709CC5CC-6817-4C56-A74B-BED99DDB5FFA;???;0
B2970E4C-8680-4061-8670-2F4B638F3953;???;0
0DF8E541-68EB-4102-8886-C144F74770E0;???;0
51A838E5-0F40-4F6D-A658-CF2845581749;???;0
6ACDA889-69B2-4EC5-936C-CB1DA7032A92;???;0
F6AE9687-2BC7-4D47-88C9-8F793E1DE2D6;???;0
4ABD0A6E-634B-4931-B3AA-9BEE01F35CDF;???;0
7DDE9DC4-66BD-41C8-8376-46D0B352F69B;???;0
4D1E9F8F-3925-4CAC-8946-47EDE8C9D67C;???;0
1F5EFD4B-B9B7-4F9A-8979-F1AFBF053237;???;0
11E85B84-8DD1-491B-A2FE-337454A91545;???;0
7DA47A96-AA00-41C6-B8A3-5BCA55741AC8;???;0
01D4D825-6CD2-4961-B0B1-036C2C3C5DE7;???;0
